L,S
8,0.500000
therm_cycles,mc_cycles,n_bins
1000,100,4 
cpu_time,n_threads
104.011229,4
n_betas,n_k,x,y,kinetic
8,0,0,0,.
beta,n,n2,n_std,E,E_std,Ov,Ov_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,S_mean,S_std
0.500000,756.257500,572298.642500,15.900103,-11.816523,0.248439,0.305000,1.121900,-0.001602,0.011847,0.001855,0.000921,0.000009,0.000007,-0.001449,0.006047,0.001984,0.000130,0.000011,0.000001,0.109564,0.059741,0.000000,0.000000
1.000000,1533.832500,2353483.947500,20.570747,-11.983066,0.160709,0.475000,0.621100,0.015195,0.006049,0.001675,0.000904,0.000010,0.000012,-0.001956,0.000661,0.002049,0.000035,0.000012,0.000001,0.180215,0.100558,0.000000,0.000000
2.000000,3025.007500,9152344.772500,20.252293,-11.816436,0.079111,-0.470000,0.558800,-0.016055,0.010122,0.002153,0.000844,0.000012,0.000008,0.000533,0.000843,0.001990,0.000061,0.000012,0.000001,0.458880,0.197895,0.000000,0.000000
4.000000,6137.257500,37680630.047500,96.061614,-11.986831,0.187620,0.050000,0.232400,-0.002383,0.002716,0.001950,0.000441,0.000014,0.000010,-0.000525,0.000527,0.002122,0.000063,0.000014,0.000001,0.991753,0.218915,0.000000,0.000000
4.000000,6138.650000,37692014.370000,49.849763,-11.989551,0.097363,0.305000,0.542700,0.007500,0.007749,0.001844,0.000379,0.000010,0.000003,-0.000929,0.000804,0.002169,0.000017,0.000014,0.000000,0.884519,0.166782,0.000000,0.000000
4.000000,6057.762500,36710114.702500,86.882281,-11.831567,0.169692,0.415000,1.096300,0.005664,0.007272,0.002337,0.001336,0.000017,0.000016,0.000822,0.000529,0.002141,0.000053,0.000014,0.000001,1.153059,0.639629,0.000000,0.000000
4.000000,6068.015000,36828809.490000,39.297759,-11.851592,0.076753,-0.035000,1.173100,-0.002383,0.006146,0.001783,0.000415,0.000010,0.000003,-0.000209,0.000395,0.002174,0.000018,0.000014,0.000000,0.890878,0.210550,0.000000,0.000000
4.000000,6108.202500,37320068.762500,66.326609,-11.930083,0.129544,-0.285000,0.121900,0.000898,0.004992,0.001589,0.000219,0.000007,0.000002,-0.000357,0.000666,0.002143,0.000022,0.000014,0.000000,0.800266,0.121498,0.000000,0.000000
beta
0.500000
corr_mean,corr_std
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
beta
1.000000
corr_mean,corr_std
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
beta
2.000000
corr_mean,corr_std
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
beta
4.000000
corr_mean,corr_std
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
beta
4.000000
corr_mean,corr_std
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
beta
4.000000
corr_mean,corr_std
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
beta
4.000000
corr_mean,corr_std
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
beta
4.000000
corr_mean,corr_std
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
